,Date,Open,High,Low,Close,Adj Close,Volume,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
284,2022-10-13,134.990005,143.589996,134.369995,142.990005,141.778809,113224000,,,,,,,,,,,,
285,2022-10-14,144.309998,144.520004,138.190002,138.380005,137.20784,88598000,,,,,,,,,,,,
286,2022-10-17,141.070007,142.899994,140.270004,142.410004,141.203705,85250900,,,,,,,,,,,,
287,2022-10-18,145.490005,146.699997,140.610001,143.75,142.532349,99136600,D,2022-10-18,2022-10-17,AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$142.45,"-8,053","136,290",-6%,"-$1,147,150"
288,2022-10-19,141.690002,144.949997,141.5,143.860001,142.641418,61758300,,,,,,,,,,,,
289,2022-10-20,143.020004,145.889999,142.649994,143.389999,142.1754,64522000,,,,,,,,,,,,
290,2022-10-21,142.869995,147.850006,142.649994,147.270004,146.022537,86548600,,,,,,,,,,,,
291,2022-10-24,147.190002,150.229996,146.0,149.449997,148.184067,75981900,,,,,,,,,,,,
292,2022-10-25,150.089996,152.490005,149.360001,152.339996,151.049606,74732300,,,,,,,,,,,,
293,2022-10-26,150.960007,151.990005,148.039993,149.350006,148.084915,88194300,,,,,,,,,,,,
294,2022-10-27,148.070007,149.050003,144.130005,144.800003,143.573456,109180200,,,,,,,,,,,,
295,2022-10-28,148.199997,157.5,147.820007,155.740005,154.420807,164762400,,,,,,,,,,,,
296,2022-10-31,153.160004,154.240005,151.919998,153.339996,152.041122,97943200,,,,,,,,,,,,
297,2022-11-01,155.080002,155.449997,149.130005,150.649994,149.373901,80379300,,2022-11-01,2022-10-28,AAPL,Maestri Luca,"SVP, CFO",S - Sale,$155.95,"-176,299","110,673",-61%,"-$27,493,275"
298,2022-11-02,148.949997,152.169998,145.0,145.029999,143.801498,93604600,,,,,,,,,,,,
299,2022-11-03,142.059998,142.800003,138.75,138.880005,137.703598,97918500,,,,,,,,,,,,
300,2022-11-04,142.089996,142.669998,134.380005,138.380005,137.435455,140814800,,,,,,,,,,,,
301,2022-11-07,137.110001,139.149994,135.669998,138.919998,137.971756,83374600,,,,,,,,,,,,
302,2022-11-08,140.410004,141.429993,137.490005,139.5,138.547806,89908500,,,,,,,,,,,,
303,2022-11-09,138.5,138.550003,134.589996,134.869995,133.949417,74917800,,,,,,,,,,,,
304,2022-11-10,141.240005,146.869995,139.5,146.869995,145.867477,118854000,,,,,,,,,,,,
305,2022-11-11,145.820007,150.009995,144.369995,149.699997,148.678192,93979700,,,,,,,,,,,,
306,2022-11-14,148.970001,150.279999,147.429993,148.279999,147.267868,73374100,,,,,,,,,,,,
307,2022-11-15,152.220001,153.589996,148.559998,150.039993,149.015869,89868300,,,,,,,,,,,,
308,2022-11-16,149.130005,149.869995,147.289993,148.789993,147.774368,64218300,,,,,,,,,,,,
309,2022-11-17,146.429993,151.479996,146.149994,150.720001,149.691238,80389400,,,,,,,,,,,,
310,2022-11-18,152.309998,152.699997,149.970001,151.289993,150.257324,74829600,,,,,,,,,,,,
311,2022-11-21,150.160004,150.369995,147.720001,148.009995,146.99971,58724100,,,,,,,,,,,,
312,2022-11-22,148.130005,150.419998,146.929993,150.179993,149.154892,51804100,,,,,,,,,,,,
313,2022-11-23,149.449997,151.830002,149.339996,151.070007,150.038849,58301400,,2022-11-23,2022-11-22,AAPL,Kondo Chris,Principal Accounting Officer,S - Sale,$148.72,"-20,200","31,505",-39%,"-$3,004,144"
314,2022-11-25,148.309998,148.880005,147.119995,148.110001,147.099045,35195900,,,,,,,,,,,,
315,2022-11-28,145.139999,146.639999,143.380005,144.220001,143.235596,69246000,,,,,,,,,,,,
316,2022-11-29,144.289993,144.809998,140.350006,141.169998,140.206406,83763800,,,,,,,,,,,,
317,2022-11-30,141.399994,148.720001,140.550003,148.029999,147.019592,111380900,,,,,,,,,,,,
318,2022-12-01,148.210007,149.130005,146.610001,148.309998,147.297668,71250400,,,,,,,,,,,,
319,2022-12-02,145.960007,148.0,145.649994,147.809998,146.801086,65447400,,,,,,,,,,,,
320,2022-12-05,147.770004,150.919998,145.770004,146.630005,145.62915,68826400,,,,,,,,,,,,
321,2022-12-06,147.070007,147.300003,141.919998,142.910004,141.934525,64727200,,,,,,,,,,,,
322,2022-12-07,142.190002,143.369995,140.0,140.940002,139.977997,69721100,,,,,,,,,,,,
323,2022-12-08,142.360001,143.520004,141.100006,142.649994,141.6763,62128300,,,,,,,,,,,,
