X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
DM,2023-03-13 16:11:14,2023-03-08,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$140.15,"-58,256","5,168,840",-1%,"-$8,164,278"
DM,2023-03-07 19:56:09,2023-03-03,SNOW,McMahon John Dennis,Dir,S - Sale+OE,$140.22,"-11,053","431,827",-2%,"-$1,549,842"
D,2022-12-14 20:58:31,2022-12-13,SNOW,Scarpelli Michael,CFO,S - Sale+OE,$151.76,"-200,000","894,585",-18%,"-$30,351,310"
,2022-12-12 19:46:48,2022-12-09,SNOW,Slootman Frank,"CEO, COB",S - Sale,$142.59,"-1,311","999,617",0%,"-$186,935"
,2022-12-12 19:45:52,2022-12-09,SNOW,Dageville Benoit,Pres of Products,S - Sale,$142.59,-724,"5,169,948",0%,"-$103,235"
,2022-09-12 21:12:45,2022-09-09,SNOW,Slootman Frank,"CEO, COB",S - Sale,$181.11,"-1,651","1,002,387",0%,"-$299,013"
,2022-09-12 21:11:39,2022-09-09,SNOW,Dageville Benoit,Pres of Products,S - Sale,$181.11,-724,"5,351,056",0%,"-$131,124"
,2022-08-30 19:09:21,2022-08-26,SNOW,Briggs Teresa,Dir,S - Sale,$196.47,"-3,224","2,217",-59%,"-$633,414"
,2022-07-11 18:20:30,2022-07-07,SNOW,McMahon John Dennis,Dir,S - Sale,$155.44,"-1,224","332,584",0%,"-$190,259"
,2022-07-05 19:39:23,2022-06-30,SNOW,Burton Jeremy,Dir,P - Purchase,$139.06,+20,"1,244",+2%,"+$2,781"
,2022-06-10 20:11:06,2022-06-09,SNOW,Slootman Frank,"CEO, COB",S - Sale,$136.18,"-1,727","1,005,157",0%,"-$235,183"
,2022-06-10 20:09:49,2022-06-09,SNOW,Dageville Benoit,Pres of Products,S - Sale,$136.18,-727,"5,695,306",0%,"-$99,003"
