volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
197,195.5153,195.5345,195.5345,195.5345,195.5345,1704811018000,6,213,2024-01-09 08:36:58,195.6436858379671
483,195.4483,195.39,195.39,195.39,195.39,1704811021000,12,214,2024-01-09 08:37:01,195.64312858163564
595,195.4449,195.35,195.35,195.35,195.35,1704811023000,23,215,2024-01-09 08:37:03,195.64243455706256
156,195.4823,195.44,195.44,195.44,195.44,1704811028000,3,216,2024-01-09 08:37:08,195.6422876973092
146,195.4545,195.445,195.445,195.445,195.445,1704811029000,4,217,2024-01-09 08:37:09,195.64212665480153
261,195.5066,195.45,195.45,195.45,195.45,1704811030000,18,218,2024-01-09 08:37:10,195.64191920144506
3667,195.4568,195.51,195.4353,195.61,195.4353,1704811031000,15,219,2024-01-09 08:37:11,195.6380217872829
1401,195.326,195.36,195.39,195.39,195.36,1704811034000,46,220,2024-01-09 08:37:14,195.63553202487813
100,195.28,195.28,195.28,195.28,195.28,1704811035000,1,221,2024-01-09 08:37:15,195.63532964548372
159,195.2774,195.27,195.27,195.27,195.27,1704811037000,2,222,2024-01-09 08:37:17,195.63500598515654
539,195.2941,195.24,195.3125,195.3125,195.24,1704811040000,6,223,2024-01-09 08:37:20,195.63396417442482
1489,195.4144,195.33,195.405,195.49,195.33,1704811041000,20,224,2024-01-09 08:37:21,195.63212606837848
139,195.4128,195.4165,195.4165,195.4165,195.4165,1704811043000,2,225,2024-01-09 08:37:23,195.63195479882248
853,195.2607,195.27,195.24,195.27,195.24,1704811048000,27,226,2024-01-09 08:37:28,195.6301842006094
110,195.2218,195.23,195.23,195.23,195.23,1704811050000,2,227,2024-01-09 08:37:30,195.62993318917106
756,195.3067,195.27,195.32,195.43,195.265,1704811058000,14,228,2024-01-09 08:37:38,195.62857350226182
1227,195.3266,195.55,195.25,195.55,195.25,1704811059000,5,229,2024-01-09 08:37:39,195.62652583394123
180,195.4113,195.41,195.41,195.41,195.41,1704811062000,4,230,2024-01-09 08:37:42,195.62631194845633
152,195.4797,195.52,195.52,195.52,195.52,1704811077000,3,231,2024-01-09 08:37:57,195.62618901699025
225,195.501,195.5,195.5,195.5,195.5,1704811078000,3,232,2024-01-09 08:37:58,195.62603382826916
275,195.3758,195.32,195.32,195.32,195.32,1704811081000,5,233,2024-01-09 08:38:01,195.6256552701067
318,195.3818,195.41,195.415,195.415,195.41,1704811082000,8,234,2024-01-09 08:38:02,195.62522942261856
571,195.3048,195.31,195.31,195.31,195.3,1704811086000,13,235,2024-01-09 08:38:06,195.6242278011047
228,195.2761,195.265,195.265,195.265,195.265,1704811088000,9,236,2024-01-09 08:38:08,195.62379382384617
1036,195.3502,195.3514,195.3514,195.3514,195.3514,1704811099000,3,237,2024-01-09 08:38:19,195.62225281053423
703,195.4929,195.49,195.525,195.525,195.47,1704811115000,22,238,2024-01-09 08:38:35,195.62176030080803
109,195.4135,195.3967,195.3967,195.3967,195.3967,1704811119000,2,239,2024-01-09 08:38:39,195.62163742672328
100,195.66,195.66,195.66,195.66,195.66,1704811124000,1,240,2024-01-09 08:38:44,195.6216581806378
898,195.6547,195.66,195.67,195.67,195.66,1704811125000,27,241,2024-01-09 08:38:45,195.62181792584374
302,195.6022,195.6,195.6,195.6,195.6,1704811132000,3,242,2024-01-09 08:38:52,195.62178608078685
408,195.6452,195.63,195.63,195.63,195.63,1704811144000,11,243,2024-01-09 08:39:04,195.6218373155701
111,195.7024,195.695,195.695,195.695,195.695,1704811148000,2,244,2024-01-09 08:39:08,195.62188524795775
200,195.695,195.695,195.695,195.695,195.695,1704811154000,2,245,2024-01-09 08:39:14,195.62196354436608
716,195.807,195.83,195.745,195.84,195.745,1704811167000,14,246,2024-01-09 08:39:27,195.62267021228925
344,195.6954,195.68,195.72,195.72,195.68,1704811185000,10,247,2024-01-09 08:39:45,195.62280341702865
755,195.5662,195.59,195.46,195.59,195.46,1704811187000,25,248,2024-01-09 08:39:47,195.62257679805273
297,195.5058,195.525,195.525,195.525,195.525,1704811189000,7,249,2024-01-09 08:39:49,195.62239317118102
272,195.4786,195.515,195.515,195.515,195.515,1704811194000,11,250,2024-01-09 08:39:54,195.622186392666
553,195.3228,195.32,195.32,195.32,195.32,1704811195000,14,251,2024-01-09 08:39:55,195.6213136472659
105,195.4449,195.4489,195.4489,195.4489,195.4489,1704811199000,2,252,2024-01-09 08:39:59,195.62121605586754
160,195.3681,195.37,195.37,195.37,195.37,1704811204000,2,253,2024-01-09 08:40:04,195.62100286735514
100,195.365,195.365,195.365,195.365,195.365,1704811205000,1,254,2024-01-09 08:40:05,195.62086817579151
736,195.3005,195.29,195.26,195.4,195.26,1704811208000,11,255,2024-01-09 08:40:08,195.619632386977
191,195.3926,195.395,195.395,195.395,195.395,1704811211000,4,256,2024-01-09 08:40:11,195.61940534626916
707,195.2506,195.25,195.25,195.25,195.25,1704811213000,19,257,2024-01-09 08:40:13,195.6180451721439
163,195.2186,195.22,195.22,195.22,195.22,1704811214000,4,258,2024-01-09 08:40:14,195.61770581769275
320,195.2288,195.23,195.23,195.23,195.23,1704811226000,2,259,2024-01-09 08:40:26,195.61705825853474
498,195.37,195.37,195.37,195.37,195.37,1704811230000,2,260,2024-01-09 08:40:30,195.6164197160072
1007,195.4947,195.51,195.465,195.51,195.465,1704811241000,23,261,2024-01-09 08:40:41,195.61578688509346
219,195.4213,195.42,195.42,195.42,195.42,1704811244000,9,262,2024-01-09 08:40:44,195.61556723016696
214,195.2539,195.255,195.255,195.255,195.255,1704811247000,4,263,2024-01-09 08:40:47,195.61516852633144
371,195.5448,195.46,195.5889,195.5889,195.46,1704811264000,7,264,2024-01-09 08:41:04,195.6150342960121
